Date,Open,High,Low,Close,Adj Close,Volume
2011-01-31,24.887096,25.143209,24.410196,24.948915,24.396894,702713
2011-02-01,25.240355,25.399323,24.904758,24.984241,24.431440,1936
2011-02-02,24.860601,25.249187,23.977453,24.065769,23.533291,985792
2011-02-03,24.021612,24.719297,22.961836,22.961836,22.453781,1948
2011-02-04,23.297432,23.447565,22.520262,23.058981,22.548777,778465
2011-02-07,23.067812,23.394577,22.564419,22.652733,22.151518,672367
2011-02-08,22.652733,23.438734,22.652733,22.979498,22.471054,921
2011-02-09,23.226780,23.253273,22.087519,22.467272,21.970161,641229
2011-02-10,22.343632,23.315094,22.255318,23.138464,22.626503,835421
2011-02-11,23.120802,23.933296,22.953003,23.756666,23.231026,720944
2011-02-14,23.553543,23.686016,23.138464,23.323925,22.807859,1065167
2011-02-15,23.156128,23.482891,23.050150,23.138464,22.626503,438431
2011-02-16,23.253273,24.154083,22.829363,24.136421,23.602377,806886
2011-02-17,24.154083,24.321882,23.491722,23.774330,23.248299,440017
2011-02-18,23.844982,23.968622,23.359251,23.818487,23.291477,787863
2011-02-21,23.853813,23.853813,23.005993,23.076645,22.566051,241522
2011-02-22,22.873520,23.085476,22.361294,22.387789,21.892435,639304
2011-02-23,22.502598,22.847025,22.043362,22.431946,21.935616,816284
2011-02-24,22.431946,22.431946,22.431946,22.431946,21.935616,0
2011-02-25,22.299475,22.652733,21.919722,21.999205,21.512451,307196
2011-02-28,21.946215,22.652733,21.946215,22.599745,22.099703,383514
2011-03-01,22.626240,22.873520,22.105183,22.184666,21.693808,532187
2011-03-02,21.981541,22.440779,21.946215,22.078688,21.590174,704412
2011-03-03,22.122845,22.829363,22.122845,22.652733,22.151518,631038
2011-03-04,22.599745,22.599745,22.087519,22.087519,21.598810,310706
2011-03-09,22.087519,22.087519,22.087519,22.087519,21.598810,0
2011-03-10,22.158171,23.041319,22.061024,22.776375,22.272425,799866
2011-03-11,22.749880,23.650690,22.414284,22.935341,22.427872,505125
2011-03-14,22.705723,23.138464,22.281811,22.732216,22.229242,559929
2011-03-15,22.343632,23.244442,21.769585,22.829363,22.324238,581669
2011-03-16,23.120802,23.385744,22.370127,23.050150,22.540142,491310
2011-03-17,23.041319,23.306261,22.449610,22.467272,21.970161,439450
